"term","estimate","std.error","statistic","p.value"
"27","Residence_PUMA19",0.135017337748343,0.142441629051504,0.947878360051072,0.3431913826542
"28","Residence_PUMA20",0.392298994865584,0.138162501619058,2.83940280661123,0.00451980618283231
"29","Residence_PUMA21",0.107942656668205,0.155754271457773,0.693031758666531,0.488289621253642
"30","Residence_PUMA22",0.255983257349269,0.146795202064208,1.74381215291561,0.0811918506384544
"31","Residence_PUMA23",0.223301372922543,0.175596946878875,1.27167001984707,0.203490386929294
"32","Residence_PUMA24",0.0990555645017993,0.147575624979658,0.671219007308648,0.50208102183045
"33","Residence_PUMA25",0.186297426245617,0.154363983689389,1.20687107052436,0.227481800383437
"34","Gang_Affiliatedfalse",-0.847258100789163,0.0638381722669979,-13.2719667669302,3.36628127035349e-40
"35","Gang_Affiliatedtrue",NA,NA,NA,NA
"36","Supervision_Risk_Score_First",0.0588736931922484,0.0122948508627181,4.78848371969865,1.68046193598425e-06
"37","Supervision_Level_FirstSpecialized",-0.0664797305820422,0.0557258425353505,-1.19297847385385,0.232877803626717
"38","Supervision_Level_FirstStandard",-0.0798196967973384,0.0525663788060129,-1.51845530566028,0.128899658512272
"39","Education_LevelHigh School Diploma",0.129528856572615,0.0567320833277688,2.28316763592593,0.0224204957204144
"40","Education_LevelLess than HS diploma",-0.0594490694797893,0.0590262237789214,-1.00716369223367,0.313856117728172
"41","Dependents1",0.0737140935373084,0.0553906347386886,1.33080427557948,0.183253420747818
"42","Dependents2",0.082595454445448,0.0589591054285938,1.40089395598922,0.161245786422109
"43","Dependents3 or more",0.0650265892002067,0.0524291748874044,1.24027489160103,0.214873736066803
"44","Prison_OffenseDrug",-0.109149153847427,0.0711563974596411,-1.53393310712975,0.125046110167364
"45","Prison_OffenseOther",-0.016387662080649,0.0856997689388169,-0.191221776716207,0.848351843058359
"46","Prison_OffenseProperty",-0.0407194166584541,0.0738425914833176,-0.551435368674099,0.58133526068818
"47","Prison_OffenseViolent/Non-Sex",-0.0227109614467922,0.0828047404265841,-0.274271271545475,0.783876160276201
"48","Prison_OffenseViolent/Sex",-0.326563439114966,0.1355714099266,-2.40879282211324,0.0160053808960684
"49","Prison_YearsGreater than 2 to 3 years",-0.238943422170204,0.0590781303091824,-4.04453256932313,5.24276200353501e-05
"50","Prison_YearsLess than 1 year",0.19762307719216,0.056229567473442,3.51457580187684,0.000440456946613393
"51","Prison_YearsMore than 3 years",-0.0996488589398964,0.0609101969146955,-1.63599633538296,0.101840354362319
"52","Prior_Arrest_Episodes_Felony1",-0.945933809809417,0.209902443308891,-4.50654025221319,6.58931901181912e-06
"53","Prior_Arrest_Episodes_Felony10 or more",-0.171873930795807,0.241507386135047,-0.711671529166807,0.476668201880983
"54","Prior_Arrest_Episodes_Felony2",-0.72741947984216,0.211086775586775,-3.44606846080287,0.000568806238858357
"55","Prior_Arrest_Episodes_Felony3",-0.535564493337005,0.21446618859009,-2.49719779540929,0.0125179111913648
"56","Prior_Arrest_Episodes_Felony4",-0.506672826816181,0.218461760129594,-2.31927467084224,0.0203801479168089
"57","Prior_Arrest_Episodes_Felony5",-0.508445918412727,0.22313951305201,-2.27860100373266,0.0226907942282631
"58","Prior_Arrest_Episodes_Felony6",-0.446823491010137,0.227269739930646,-1.96604920279528,0.0492929273073919
"59","Prior_Arrest_Episodes_Felony7",-0.660466958688379,0.231336769857869,-2.85500207811393,0.00430365473294181
"60","Prior_Arrest_Episodes_Felony8",-0.386230512694912,0.238364249718714,-1.6203374170023,0.105159815444178
"61","Prior_Arrest_Episodes_Felony9",-0.341520756524868,0.244518362805685,-1.39670801246232,0.16250139374988
"62","Prior_Arrest_Episodes_Misd1",0.13603953296913,0.0751901935870711,1.80927227978997,0.0704087132955311
"63","Prior_Arrest_Episodes_Misd2",0.165807890238141,0.0834944142140949,1.98585608149761,0.0470493065138431
"64","Prior_Arrest_Episodes_Misd3",0.150493553541598,0.0937518515135664,1.60523286859909,0.108442566560896
"65","Prior_Arrest_Episodes_Misd4",0.326655248298211,0.100560150477158,3.24835679688458,0.0011607361953505
"66","Prior_Arrest_Episodes_Misd5",0.287523970437217,0.109701301678961,2.62097136530476,0.00876796261579939
"67","Prior_Arrest_Episodes_Misd6 or more",0.360386142408239,0.105879552570054,3.40373692238447,0.000664707396079107
"68","Prior_Arrest_Episodes_Violent1",0.0150405917393167,0.053868212515488,0.279210893344425,0.780082984269919
"69","Prior_Arrest_Episodes_Violent2",0.0721309284308513,0.0736258982789391,0.979695054552355,0.327236668008676
"70","Prior_Arrest_Episodes_Violent3 or more",0.074357043461309,0.0852722549388757,0.871995744859909,0.383210698894621
"71","Prior_Arrest_Episodes_Property1",0.187685918524867,0.0644254041778088,2.91322842161563,0.00357712834355024
"72","Prior_Arrest_Episodes_Property2",0.218776279159094,0.0791910943879748,2.76263740070645,0.00573364234106895
"73","Prior_Arrest_Episodes_Property3",0.253167542872781,0.093892478238324,2.69635595548106,0.00701027099251798
"74","Prior_Arrest_Episodes_Property4",0.310331046880623,0.111700533056234,2.7782414138023,0.00546539954562602
"75","Prior_Arrest_Episodes_Property5 or more",0.521573118056389,0.116822907072575,4.46464765452522,8.0200624270231e-06
"76","Prior_Arrest_Episodes_Drug1",-0.0824501805863612,0.0623998797651422,-1.32131954254853,0.18639484051673
"77","Prior_Arrest_Episodes_Drug2",0.043047943789608,0.0765068946036816,0.562667508759877,0.573661312897615
"78","Prior_Arrest_Episodes_Drug3",0.0378201964576512,0.0905859738542687,0.417506097781704,0.676308265061649
"79","Prior_Arrest_Episodes_Drug4",0.00748938599077864,0.107604606596429,0.0696009792486634,0.944511257505044
"80","Prior_Arrest_Episodes_Drug5 or more",-0.0576880524615729,0.108980649532204,-0.529342160366976,0.596568113810649
"81","Prior_Arrest_Episodes_PPViolationCharges1",0.181758683335698,0.0661133392585535,2.7491983520131,0.00597412222318382
"82","Prior_Arrest_Episodes_PPViolationCharges2",0.239543888124656,0.077504699143317,3.09070147710277,0.00199684280779293
"83","Prior_Arrest_Episodes_PPViolationCharges3",0.295530536877291,0.0866219190989885,3.41172927073538,0.000645521904019498
"84","Prior_Arrest_Episodes_PPViolationCharges4",0.404209930208533,0.0972927198503998,4.15457529432889,3.258922923973e-05
"85","Prior_Arrest_Episodes_PPViolationCharges5 or more",0.617978132297351,0.0960922991315599,6.43108904545282,1.26692909790328e-10
"86","Prior_Arrest_Episodes_DVChargestrue",0.0971541991147214,0.0662665790500573,1.46611158305504,0.142617890645042
"87","Prior_Arrest_Episodes_GunChargestrue",0.0583330681655785,0.0549300335747843,1.06195216658954,0.288257400913291
"88","Prior_Conviction_Episodes_Felony1",0.053123678455044,0.0552195115159724,0.962045425549951,0.336026786167775
"89","Prior_Conviction_Episodes_Felony2",0.126601668793553,0.0701945097253161,1.80358363195311,0.0712966039330216
"90","Prior_Conviction_Episodes_Felony3 or more",0.108794792318621,0.0802596279172807,1.35553571754345,0.175246936796526
"91","Prior_Conviction_Episodes_Misd1",0.15787537572891,0.0630964304812062,2.50212848056333,0.0123449115890104
"92","Prior_Conviction_Episodes_Misd2",0.184384714181916,0.0773494983293406,2.38378681393431,0.0171355258151614
"93","Prior_Conviction_Episodes_Misd3",0.192392043745419,0.0906309241970803,2.12280792069444,0.0337699508450314
"94","Prior_Conviction_Episodes_Misd4 or more",0.30922015021973,0.0934554476681365,3.30874398374059,0.000937154900002804
"95","Prior_Conviction_Episodes_Violtrue",0.0381718427269328,0.0580466618918461,0.657606165158221,0.510791231956003
"96","Prior_Conviction_Episodes_Prop1",-0.0810153810374031,0.0610005842111163,-1.32810828101281,0.184142338166234
"97","Prior_Conviction_Episodes_Prop2",-0.0762305340583239,0.0828356501500813,-0.920262398136668,0.357435653702881
"98","Prior_Conviction_Episodes_Prop3 or more",-0.0723462812519199,0.0999285527116517,-0.723980076652149,0.469077966640576
